Tanggal,Inflow (m/s),Outflow(m/s),Curah Hujan (mm)
3/3/2022,180.74,11.74,18.5
3/4/2022,94.45,11.82,1.2
3/5/2022,50.64,11.82,0
3/6/2022,50.78,8.84,1
3/7/2022,64.74,21.68,0
3/8/2022,49.74,5.01,11.4
3/9/2022,16.26,0.00,29
3/10/2022,101.71,0.00,5.9
3/11/2022,177.37,36.66,0.5
3/12/2022,30.89,53.00,17.5
3/13/2022,0.00,53.00,5.6
3/14/2022,18.64,46.76,5.8
3/15/2022,132.84,41.53,20.9
3/16/2022,215.67,35.00,4.9
3/17/2022,32.08,45.12,0
3/18/2022,29.01,51.00,0
3/19/2022,97.68,51.00,0
3/20/2022,192.81,51.00,19.5
3/21/2022,79.92,51.00,4
3/22/2022,114.10,51.00,0
3/23/2022,38.51,51.00,4.7
3/24/2022,22.17,51.00,1.2
3/25/2022,26.49,51.00,0
3/26/2022,13.87,36.50,0
3/27/2022,46.31,51.00,
3/28/2022,63.35,51.00,0
3/29/2022,23.41,51.00,0
3/30/2022,74.31,51.00,0
3/31/2022,37.76,51.00,0
4/1/2022,173.10,51.00,14.5
4/2/2022,100.34,51.00,1
4/3/2022,41.24,51.00,0
4/4/2022,142.52,51.00,0
4/5/2022,84.48,51.00,0
4/6/2022,44.44,51.00,21.2
4/7/2022,37.74,51.00,8888
4/8/2022,44.64,51.00,1
4/9/2022,21.10,51.00,1
4/10/2022,11.07,45.71,2.7
4/11/2022,23.93,49.63,0
4/12/2022,12.44,40.05,32.2
4/13/2022,23.89,20.87,0
4/14/2022,38.33,18.33,0
4/15/2022,6.82,50.00,0
4/16/2022,15.29,50.00,0
4/17/2022,3.89,50.00,0
4/18/2022,0.00,50.00,7
4/19/2022,10.05,50.00,2.4
4/20/2022,95.67,50.00,5.4
4/21/2022,50.00,50.00,4.6
4/22/2022,21.44,50.00,4.4
4/23/2022,15.82,50.00,0
4/24/2022,4.59,50.00,6.2
4/25/2022,84.04,50.00,0.3
4/26/2022,67.06,50.00,15.2
4/27/2022,32.94,50.00,0
4/28/2022,10.29,50.00,3.8
4/29/2022,0.00,36.70,0
4/30/2022,19.81,25.17,2.5
5/1/2022,8.30,50.00,1
5/2/2022,21.94,50.00,0
5/3/2022,5.26,50.00,0
5/4/2022,11.00,33.55,0
5/5/2022,16.88,35.00,0
5/6/2022,1.73,28.59,
5/7/2022,28.59,7.40,1
5/8/2022,1.86,23.37,18.8
5/9/2022,45.52,33.83,0
5/10/2022,11.68,33.94,28.2
5/11/2022,17.35,0.00,0
5/12/2022,0.00,30.46,10.5
5/13/2022,8.39,34.81,0
5/14/2022,23.79,11.01,0
5/15/2022,38.58,3.82,4.7
5/16/2022,14.87,33.54,0
5/17/2022,5.94,27.92,0
5/18/2022,5.89,39.12,0.4
5/19/2022,11.65,8.95,3.2
5/20/2022,75.00,8.99,8.2
5/21/2022,175.92,0.00,51.4
5/22/2022,118.39,22.72,1
5/23/2022,28.39,35.00,0.4
5/24/2022,18.00,24.81,0
5/25/2022,41.81,35.00,8888
5/26/2022,23.66,35.00,
5/27/2022,23.68,35.00,53.9
5/28/2022,51.99,35.00,0
5/29/2022,23.67,35.00,0
5/30/2022,18.03,35.00,8
5/31/2022,12.41,35.00,0
6/1/2022,6.83,27.00,0
6/2/2022,0.00,35.00,0
6/3/2022,12.57,35.00,3.4
6/4/2022,12.62,35.00,3
6/5/2022,7.09,35.00,0
6/6/2022,18.29,35.00,48.5
6/7/2022,29.43,21.61,16.4
6/8/2022,21.61,0.00,0
6/9/2022,0.00,0.00,0
6/10/2022,5.57,0.00,0
6/11/2022,16.71,0.00,0
6/12/2022,72.73,0.00,32.3
6/13/2022,67.56,0.00,30.6
6/14/2022,62.30,21.94,0.4
6/15/2022,10.59,50.00,0
6/16/2022,4.70,50.00,0.3
6/17/2022,21.78,50.00,1.5
6/18/2022,44.37,50.00,0.6
6/19/2022,21.87,50.00,
6/20/2022,10.74,50.00,3.8
6/21/2022,10.88,46.18,6
6/22/2022,12.76,0.00,0
6/23/2022,0.00,0.00,0
6/24/2022,11.13,0.00,2.6
6/25/2022,27.87,0.00,0
6/26/2022,11.17,0.00,39.7
6/27/2022,50.40,0.00,7.1
6/28/2022,28.10,0.00,35.2
6/29/2022,11.26,11.79,0
6/30/2022,11.79,0.00,0
7/1/2022,0.00,0.00,0
7/2/2022,0.00,0.00,0
7/3/2022,0.00,0.00,5
7/4/2022,5.63,0.00,0
7/5/2022,0.00,0.00,0
7/6/2022,33.87,0.00,4.8
7/7/2022,11.31,0.00,2.7
7/8/2022,0.00,0.00,0
7/9/2022,0.00,0.00,0
7/10/2022,0.00,0.00,0.2
7/11/2022,5.66,0.00,0
7/12/2022,0.00,0.00,0
7/13/2022,5.66,0.00,1.4
7/14/2022,11.34,0.00,67.1
7/15/2022,0.00,0.00,0.6
7/16/2022,5.67,0.00,0
7/17/2022,5.68,0.00,43.7
7/18/2022,5.68,0.00,0
7/19/2022,0.00,0.00,0
7/20/2022,5.68,10.42,0
7/21/2022,0.00,35.00,0
7/22/2022,0.00,23.30,0
7/23/2022,23.30,0.00,0
7/24/2022,0.00,0.00,0
7/25/2022,0.00,0.00,
7/26/2022,0.00,0.00,0
7/27/2022,0.00,0.00,0
7/28/2022,0.00,0.00,0
7/29/2022,0.00,0.00,0
7/30/2022,0.00,0.00,0
7/31/2022,,0.00,0
8/1/2022,0.00,0.00,0
8/2/2022,0.00,0.00,0
8/3/2022,0.00,0.00,0
8/4/2022,0.00,0.00,0
8/5/2022,0.00,0.00,0.8
8/6/2022,0.00,0.00,0
8/7/2022,0.00,0.00,0
8/8/2022,0.00,0.00,0
8/9/2022,0.00,17.65,0
8/10/2022,0.00,29.65,0
8/11/2022,7.15,0.00,2.3
8/12/2022,0.00,0.00,0
8/13/2022,0.00,0.00,0
8/14/2022,67.63,0.00,29
8/15/2022,22.64,0.00,0
8/16/2022,51.10,8.33,29.5
8/17/2022,25.42,35.00,0
8/18/2022,12.22,35.00,0
8/19/2022,0.00,35.00,2.4
8/20/2022,0.00,7.53,0
8/21/2022,7.53,0.00,2.5
8/22/2022,0.00,0.00,
8/23/2022,0.00,0.00,0
8/24/2022,0.00,0.00,0.4
8/25/2022,0.00,0.00,0
8/26/2022,0.00,0.00,
8/27/2022,0.00,0.00,0
8/28/2022,0.00,0.00,6.8
8/29/2022,0.00,0.00,0
8/30/2022,0.00,0.00,0
8/31/2022,0.00,15.75,8.6
9/1/2022,0.00,46.06,8888
9/2/2022,0.00,35.56,0
9/3/2022,0.00,39.87,0
9/4/2022,0.00,50.00,0
9/5/2022,0.17,51.96,0
9/6/2022,0.00,53.00,3
9/7/2022,0.00,53.00,0
9/8/2022,25.72,45.13,19
9/9/2022,7.06,35.00,0
9/10/2022,7.90,49.06,23
9/11/2022,87.03,50.00,39.5
9/12/2022,28.29,50.00,3.6
9/13/2022,12.11,52.12,0
9/14/2022,0.00,53.00,3.7
9/15/2022,0.00,53.00,0
9/16/2022,0.00,53.00,1.5
9/17/2022,5.37,53.00,18.8
9/18/2022,10.85,53.00,0
9/19/2022,0.00,53.00,0
9/20/2022,1.47,54.40,2
9/21/2022,7.28,23.50,0
9/22/2022,0.00,51.15,0
9/23/2022,12.40,38.34,6.4
9/24/2022,0.00,35.00,8888
9/25/2022,105.91,35.00,0
9/26/2022,0.00,52.08,0
9/27/2022,3.41,52.92,0
9/28/2022,7.69,52.92,0
9/29/2022,8.08,52.92,0
9/30/2022,8.47,52.92,0
10/1/2022,8.86,55.00,0
10/2/2022,11.32,55.00,0
10/3/2022,5.46,51.88,0
10/4/2022,3.59,35.00,0
10/5/2022,0.00,35.00,0
10/6/2022,0.00,35.00,25
10/7/2022,0.00,35.00,34.4
10/8/2022,0.00,35.00,0.4
10/9/2022,0.00,35.00,21.4
10/10/2022,39.71,35.00,18.4
10/11/2022,30.29,35.00,15.8
10/12/2022,163.13,35.00,0.4
10/13/2022,25.44,35.00,12
10/14/2022,1.63,35.00,5.6
10/15/2022,0.00,35.00,83.2
10/16/2022,11.35,11.82,7.2
10/17/2022,2.38,11.93,4.8
10/18/2022,2.50,14.90,3.5
10/19/2022,5.48,26.54,24.4
10/20/2022,50.11,39.00,0
10/21/2022,34.29,26.93,2
10/22/2022,126.59,14.85,5
10/23/2022,38.75,35.00,0
10/24/2022,20.65,35.00,0
10/25/2022,11.14,35.00,18.2
10/26/2022,30.24,35.00,15
10/27/2022,6.47,35.00,0
10/28/2022,6.57,35.00,0
10/29/2022,6.66,46.03,0
10/30/2022,0.00,53.37,0
10/31/2022,0.00,55.00,0
11/1/2022,14.35,55.00,0
